# mass	sfr	metal
1.004746723175048828e+01 1.857600957155227661e-01 9.022696495056152344e+00
9.659457206726074219e+00 -9.326989948749542236e-02 8.872737884521484375e+00
1.031759166717529297e+01 4.152300953865051270e-01 9.028717994689941406e+00
9.821062088012695312e+00 8.287009596824645996e-02 9.019113540649414062e+00
1.097893238067626953e+01 9.789900779724121094e-01 9.174741744995117188e+00
8.886763572692871094e+00 -7.271199226379394531e-01 8.726703643798828125e+00
1.016824531555175781e+01 1.337300986051559448e-01 8.935941696166992188e+00
1.014172458648681641e+01 3.437500894069671631e-01 9.008284568786621094e+00
1.067508792877197266e+01 9.441500902175903320e-01 9.149241447448730469e+00
1.064288997650146484e+01 8.722000718116760254e-01 9.103573799133300781e+00
9.907854080200195312e+00 -4.579990357160568237e-02 8.876689910888671875e+00
1.063814830780029297e+01 9.031900763511657715e-01 9.111767768859863281e+00
9.862865447998046875e+00 -1.540699005126953125e-01 8.875547409057617188e+00
9.840290069580078125e+00 1.372020125389099121e+00 9.119989395141601562e+00
1.056945800781250000e+01 1.189110040664672852e+00 9.097874641418457031e+00
9.605721473693847656e+00 1.357000917196273804e-01 8.740706443786621094e+00
9.945444107055664062e+00 3.153009712696075439e-02 9.008109092712402344e+00
9.389837265014648438e+00 -1.182990521192550659e-02 8.742315292358398438e+00
9.968010902404785156e+00 4.248501062393188477e-01 8.771089553833007812e+00
1.050933837890625000e+01 9.456101059913635254e-01 8.986599922180175781e+00
9.932065010070800781e+00 -2.373799085617065430e-01 8.841485023498535156e+00
1.077593994140625000e+01 8.026701211929321289e-01 9.101461410522460938e+00
1.005907344818115234e+01 -3.655990585684776306e-02 8.842282295227050781e+00
1.030604743957519531e+01 2.135100960731506348e-01 8.769110679626464844e+00
9.377317428588867188e+00 -2.601999044418334961e-01 8.871512413024902344e+00
1.056523132324218750e+01 2.932600975036621094e-01 9.194843292236328125e+00
8.571060180664062500e+00 -5.363199114799499512e-01 8.460389137268066406e+00
1.053855323791503906e+01 -4.297699034214019775e-01 8.668678283691406250e+00
9.090333938598632812e+00 -7.290899157524108887e-01 8.730238914489746094e+00
1.022379016876220703e+01 4.299500882625579834e-01 8.901233673095703125e+00
8.466386795043945312e+00 -1.118319988250732422e+00 8.637351989746093750e+00
1.036868762969970703e+01 6.684200763702392578e-01 9.024250030517578125e+00
9.971845626831054688e+00 1.916700899600982666e-01 8.895026206970214844e+00
1.114430236816406250e+01 1.116930127143859863e+00 9.098267555236816406e+00
1.038961124420166016e+01 2.668009139597415924e-02 8.885057449340820312e+00
9.866073608398437500e+00 1.271601021289825439e-01 8.950585365295410156e+00
7.935123920440673828e+00 -1.592509984970092773e+00 8.067590713500976562e+00
1.058568763732910156e+01 4.320001006126403809e-01 9.164894104003906250e+00
1.075006484985351562e+01 9.520400762557983398e-01 9.118013381958007812e+00
9.944412231445312500e+00 2.233900874853134155e-01 8.465421676635742188e+00
1.034953117370605469e+01 6.799401044845581055e-01 8.888402938842773438e+00
1.010848331451416016e+01 1.463009323924779892e-02 9.041515350341796875e+00
1.007140064239501953e+01 1.282200962305068970e-01 9.062346458435058594e+00
9.126755714416503906e+00 -5.734999179840087891e-01 8.638576507568359375e+00
1.061999130249023438e+01 8.923200964927673340e-01 9.056822776794433594e+00
9.748203277587890625e+00 1.518200933933258057e-01 8.696781158447265625e+00
1.041483879089355469e+01 5.477009341120719910e-02 8.980813026428222656e+00
9.225167274475097656e+00 -6.313799023628234863e-01 8.583197593688964844e+00
8.833545684814453125e+00 -1.421589970588684082e+00 8.444842338562011719e+00
8.398703575134277344e+00 -1.305509924888610840e+00 8.290802001953125000e+00
1.082264423370361328e+01 9.296500682830810547e-01 9.044256210327148438e+00
1.054719161987304688e+01 1.305501013994216919e-01 9.100898742675781250e+00
9.451229095458984375e+00 -1.430799067020416260e-01 8.654074668884277344e+00
9.844807624816894531e+00 -4.634990543127059937e-02 8.956480026245117188e+00
9.446988105773925781e+00 4.656100869178771973e-01 8.773131370544433594e+00
1.062597465515136719e+01 5.869700908660888672e-01 9.065666198730468750e+00
9.668000221252441406e+00 7.650101184844970703e-01 8.711902618408203125e+00
9.902530670166015625e+00 -2.636499106884002686e-01 8.804291725158691406e+00
9.741653442382812500e+00 -3.439905820414423943e-03 8.844796180725097656e+00
9.840815544128417969e+00 1.547009497880935669e-02 8.983717918395996094e+00
9.162163734436035156e+00 -5.891498923301696777e-01 8.592390060424804688e+00
9.307268142700195312e+00 -6.350799202919006348e-01 8.584888458251953125e+00
8.628602981567382812e+00 -5.919799208641052246e-01 8.096331596374511719e+00
1.007994270324707031e+01 6.256400942802429199e-01 8.909062385559082031e+00
9.500203132629394531e+00 -4.025990143418312073e-02 8.470724105834960938e+00
9.855569839477539062e+00 9.321801066398620605e-01 8.656563758850097656e+00
1.055583953857421875e+01 6.229401230812072754e-01 9.102064132690429688e+00
9.692790985107421875e+00 -1.923099011182785034e-01 8.760758399963378906e+00
9.880628585815429688e+00 -8.755990862846374512e-02 9.011903762817382812e+00
1.068717575073242188e+01 2.726000845432281494e-01 9.031827926635742188e+00
1.010079193115234375e+01 -2.666299045085906982e-01 8.801259040832519531e+00
1.101457214355468750e+01 8.954401016235351562e-01 8.903103828430175781e+00
9.391710281372070312e+00 -4.736098945140838623e-01 8.501709938049316406e+00
1.039767646789550781e+01 2.724601030349731445e-01 9.052212715148925781e+00
9.898077964782714844e+00 -3.505099117755889893e-01 9.067777633666992188e+00
1.099833965301513672e+01 9.390701055526733398e-01 9.036009788513183594e+00
9.930456161499023438e+00 5.848009884357452393e-02 8.936265945434570312e+00
9.596695899963378906e+00 -1.230099052190780640e-01 8.775216102600097656e+00
1.063717269897460938e+01 8.722000718116760254e-01 9.065347671508789062e+00
1.058284282684326172e+01 8.974201083183288574e-01 9.053403854370117188e+00
8.540251731872558594e+00 -1.035959959030151367e+00 8.334596633911132812e+00
